# time, g
156.21,-0.20895
156.21,-0.11616
156.21,0.023037
156.21,0.20864
156.21,0.23184
156.21,0.076065
156.21,-0.026672
156.21,-0.12941
156.21,-0.11947
156.21,0.0031568
156.21,0.052869
156.21,0.059498
156.21,0.026358
156.21,-0.0067832
156.21,0.089327
156.22,0.049558
156.22,0.099271
156.22,0.1059
156.22,0.026361
156.22,0.03299
156.22,-0.069747
156.22,-0.069747
156.22,0.0031648
156.22,-0.066431
156.22,-0.039918
156.22,0.0031666
156.22,-0.083
156.22,0.0097961
156.22,0.019739
156.22,-0.0067732
156.22,0.042939
156.22,-0.15259
156.22,-0.089625
156.22,0.0031716
156.22,0.046256
156.23,0.21197
156.23,0.049571
156.23,-0.086308
156.23,-0.14928
156.23,-0.10288
156.23,-0.013395
156.23,0.066145
156.23,0.0031772
156.23,0.009806
156.23,-0.0067641
156.23,-0.043219
156.23,0.0098078
156.23,-0.039904
156.23,-0.079673
156.23,-0.069729
156.23,0.0064963
156.23,0.082722
156.23,0.1689
156.23,-0.013387
156.23,-0.053156
156.24,-0.00012898
156.24,-0.12607
156.24,0.029699
156.24,0.016443
156.24,-0.00012657
156.24,0.0529
156.24,-0.010068
156.24,-0.00012463
156.24,0.16228
156.24,-0.00012341
156.24,0.0098196
156.24,-0.053148
156.24,-0.15257
156.24,-0.0034352
156.24,0.0065078
156.24,0.036336
156.24,0.11588
156.24,0.11919
156.24,0.13908
156.24,0.042966
156.25,-0.046515
156.25,0.0031981
156.25,-0.00011545
156.25,0.0031993
156.25,-0.033256
156.25,-0.10285
156.25,-0.10948
156.25,-0.099536
156.25,0.029716
156.25,0.059543
156.25,0.013146
156.25,-0.03988
156.25,-0.099533
156.25,0.0065196
156.25,0.15566
156.25,0.18218
156.25,0.2816
156.25,0.12252
156.25,-0.0067338
156.25,-0.10616
156.26,-0.17575
156.26,-0.066386
156.26,0.062865
156.26,0.12583
156.26,0.056238
156.26,-0.076326
156.26,-0.22546
156.26,-0.18901
156.26,-0.066382
156.26,0.013158
156.26,0.11921
156.26,0.13578
156.26,0.15236
156.26,0.10264
156.26,0.0065325
156.26,-0.10946
156.26,-0.20226
156.26,-0.12935
156.26,0.036362
156.26,0.036363
156.27,0.0098504
156.27,-0.056432
156.27,-9.0748e-05
156.27,0.15237
156.27,0.10596
156.27,0.11922
156.27,-0.019973
156.27,-0.046485
156.27,-0.056427
156.27,-0.11608
156.27,-0.076311
156.27,0.003229
156.27,-0.0067129
156.27,0.13248
156.27,0.009859
156.27,0.033059
156.27,0.04963
156.27,-8.1569e-05
156.27,0.0065474
156.27,-0.10282
156.28,-0.11276
156.28,-7.9006e-05
156.28,0.1126
156.28,0.17558
156.28,0.17889
156.28,-0.11939
156.28,-0.29835
156.28,-0.30829
156.28,-0.059729
156.28,0.15901
156.28,0.25512
156.28,0.16233
156.28,0.006556
156.28,-0.12269
156.28,-0.17241
156.28,-0.10281
156.28,-0.016641
156.28,0.11593
156.28,0.17559
156.28,0.17228
156.29,0.033074
156.29,-0.1492
156.29,-0.23537
156.29,-0.18897
156.29,-0.013321
156.29,0.1093
156.29,0.19216
156.29,0.086104
156.29,-0.063031
156.29,-0.15251
156.29,-0.27513
156.29,-0.15582
156.29,-0.010002
156.29,0.1988
156.29,0.33136
156.29,0.23525
156.29,-0.013314
156.29,-0.20553
156.29,-0.32153
156.29,-0.27513
156.3,-0.033196
156.3,0.19217
156.3,0.32143
156.3,0.2684
156.3,0.023146
156.3,-0.16907
156.3,-0.21547
156.3,-0.16244
156.3,0.092746
156.3,0.21538
156.3,0.11595
156.3,-0.0099906
156.3,-0.16244
156.3,-0.19227
156.3,-0.0033605
156.3,0.16236
156.3,0.2187
156.3,0.22864
156.3,-0.033185
156.3,-0.13924
156.31,-0.15912
156.31,-0.086209
156.31,0.059613
156.31,0.15242
156.31,0.12258
156.31,-3.9548e-05
156.31,-0.046437
156.31,-0.11603
156.31,-0.063006
156.31,0.043047
156.31,0.029791
156.31,0.0065925
156.31,-0.023234
156.31,-0.09283
156.31,0.062935
156.31,0.033108
156.31,-0.046431
156.31,-0.076257
156.31,-0.14254
156.31,0.01654
156.32,0.13585
156.32,0.092766
156.32,0.036426
156.32,0.023171
156.32,-0.04974
156.32,0.0099152
156.32,-0.046425
156.32,-0.046424
156.32,-0.0033396
156.32,-0.0033389
156.32,0.039745
156.32,-0.023223
156.32,-0.059677
156.32,-0.11933
156.32,-0.12927
156.32,-0.053047
156.32,0.086147
156.32,0.1657
156.32,0.20547
156.32,0.12923
156.33,-0.026531
156.33,-0.12264
156.33,-0.18561
156.33,-0.10938
